Base,word,affix,Source,FS,BF,LogBF,FS_Split,BaseLength,WholeFormLength
detect,detectable,able,XuTaft,7,982,6.89,S,6,10
avoid,avoidable,able,XuTaft,5,2172,7.68,S,5,9
notice,noticeable,able,FORD,6,3426,8.14,S,6,10
magic,magical,al,RastleFiller,5,1014,6.92,S,5,7
allow,allowance,ance,RastleFiller,5,5014,8.52,S,5,9
diet,dietary,ary,Rastle,6,1181,7.07,S,4,7
widow,widowed,ed,RastleFiller,5,499,6.21,S,5,7
beard,bearded,ed,Rastle,7,578,6.36,S,5,7
insist,insistent,ent,RastleFiller,5,1631,7.4,S,6,9
toast,toaster,er,Rastle,6,339,5.83,S,5,7
lend,lender,er,FORD,3,505,6.22,S,4,6
raid,raider,er,RastleFiller,4,505,6.22,S,4,6
jail,jailer,er,RastleFiller,5,678,6.52,S,4,6
destroy,destroyer,er,FORD,3,1906,7.55,S,7,9
campaign,campaigner,er,FORD,3,2003,7.6,S,8,10
seek,seeker,er,Rastle,7,2155,7.68,S,4,6
sing,singer,er,FORD,4,2186,7.69,S,4,6
listen,listener,er,FORD,4,3081,8.03,S,6,8
designer,design,er,RastleFiller,7,3296,8.1,S,8,6
attack,attacker,er,FORD,6,3385,8.13,S,6,8
buy,buyer,er,FORD,3,4386,8.39,S,3,5
plan,planner,er,FORD,4,5475,8.61,S,4,7
teach,teacher,er,RastleFiller,6,5662,8.64,S,5,7
thrust,thruster,er,Graves,4,584,6.37,S,6,8
angel,angelic,ic,Rastle,7,567,6.34,S,5,7
toss,tossing,ing,RastleFiller,5,407,6.01,S,4,7
tutor,tutoring,ing,RastleFiller,5,499,6.212606096,S,5,8
peak,peaking,ing,RastleFiller,6,546,6.3,S,4,7
harm,harmless,less,FORD,7,1101,7,S,4,8
effort,effortless,less,FORD,4,2456,7.81,S,6,10
grim,grimly,ly,FORD,6,552,6.31,S,4,6
dense,densely,ly,FORD,7,655,6.48,S,5,7
neat,neatly,ly,FORD,3,924,6.83,S,4,6
guilt,guilty,ly,RastleFiller,7,1576,7.36,S,5,6
huge,hugely,ly,FORD,3,1918,7.56,S,4,6
cost,costly,ly,FORD,6,4215,8.35,S,4,6
local,locally,ly,FORD,7,4485,8.41,S,5,7
amuse,amusement,ment,FORD,3,857,6.75,S,5,9
amaze,amazement,ment,FORD,4,878,6.78,S,5,9
enjoy,enjoyment,ment,FORD,4,2771,7.93,S,5,9
bold,boldness,ness,RastleFiller,7,379,5.94,S,4,8
mild,mildness,ness,FORD,4,676,6.52,S,4,8
dull,dullness,ness,XuTaft,5,703,6.56,S,4,8
aware,awareness,ness,FORD,4,2391,7.78,S,5,9
rich,richness,ness,FORD,7,2868,7.96,S,4,8
strange,strangeness,ness,FORD,4,2912,7.98,S,7,11
moss,mossy,y,Graves,3,149,5,S,4,5
chill,chilly,y,RastleFiller,7,488,6.19,S,5,6
boss,bossy,y,Graves,6,551,6.31,S,4,5
risk,risky,y,RastleFiller,5,1827,7.51,S,4,5
verb,verbal,al,RastleFiller,22,423,6.05,L,4,6
punch,puncher,er,RastleFiller,17,325,5.78,L,5,7
bark,barker,er,Graves,8,387,5.96,L,4,6
spell,speller,er,RastleFiller,10,781,6.66,L,5,7
knock,knocker,er,RastleFiller,15,1104,7.01,L,5,7
swim,swimmer,er,FORD,11,1145,7.04,L,4,7
compose,composer,er,FORD,13,1187,7.08,L,7,8
bomb,bomber,er,Rastle,24,1208,7.1,L,4,6
lock,locker,er,RastleFiller,18,1654,7.41,L,4,6
rent,renter,er,RastleFiller,13,1690,7.43,L,4,6
hunt,hunter,er,FORD,18,1762,7.47,L,4,6
dance,dancer,er,FORD,16,2003,7.6,L,5,6
dream,dreamer,er,Rastle,19,2325,7.75,L,5,7
push,pusher,er,RastleFiller,17,2507,7.83,L,4,6
feed,feeder,er,FORD,11,2806,7.94,L,4,6
clean,cleaner,er,XuTaft,29,2854,7.96,L,5,7
heat,heater,er,FORD,15,2881,7.97,L,4,6
strike,striker,er,Graves,17,3414,8.14,L,6,7
paint,painter,er,RastleFiller,17,3666,8.21,L,5,7
shame,shameful,ful,FORD,13,993,6.9,L,5,8
faith,faithful,ful,FORD,12,1320,7.19,L,5,8
doubt,doubtful,ful,FORD,8,4135,8.33,L,5,8
flex,flexible,ible,RastleFiller,16,664,6.5,L,4,8
kick,kicking,ing,RastleFiller,15,1012,6.92,L,4,7
cool,cooling,ing,RastleFiller,14,1434,7.27,L,4,7
park,parking,ing,RastleFiller,9,1945,7.57,L,4,7
guard,guarding,ing,RastleFiller,28,2047,7.62,L,5,8
laugh,laughing,ing,RastleFiller,18,4181,8.34,L,5,8
damp,dampish,ish,FORD,11,621,6.43,L,4,7
style,stylish,ish,XuTaft,16,2119,7.66,L,5,7
jump,jumping,jumping,RastleFiller,15,1395,7.24,L,4,7
guile,guileless,less,Graves,9,61,4.11,L,5,9
boot,bootless,less,Graves,19,940,6.85,L,4,8
cloud,cloudless,less,RastleFiller,14,1181,7.07,L,5,9
bone,boneless,less,Graves,35,1490,7.31,L,4,8
shape,shapely,ly,XuTaft,12,1909,7.55,L,5,7
quiet,quietly,ly,Rastle,18,2691,7.9,L,5,7
wrong,wrongly,ly,FORD,12,3532,8.17,L,5,7
excite,excitement,ment,FORD,9,1924,7.56,L,6,10
deaf,deafness,ness,FORD,9,290,5.67,L,4,8
blind,blindness,ness,FORD,16,1024,6.93,L,5,9
mad,madness,ness,FORD,10,1298,7.17,L,3,7
dry,dryness,ness,XuTaft,19,2366,7.77,L,3,7
sail,sailor,or,RastleFiller,17,740,6.61,L,4,6
conduct,conductor,or,RastleFiller,16,1084,6.99,L,7,9
edit,editor,or,RastleFiller,12,1298,7.17,L,4,6
collect,collector,or,XuTaft,23,3221,8.08,L,7,9
profess,professor,pr,RastleFiller,14,3563,8.18,L,7,9
weed,weedy,y,Graves,17,729,6.59,L,4,5
cream,creamy,y,RastleFiller,10,792,6.67,L,5,6
