base,word,complexity,affix,Source,FS,BF,LogBF,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist
melt,meltance,Complex,ance,Crepaldi,5,429,6.06,S,S,4.00,8.00,1
happen,happenance,Complex,ance,Crepaldi,3,6982,8.85,S,L,6.00,10.00,1
lid,lidary,Complex,ary,Crepaldi,3,523,6.26,S,S,3.00,6.00,1
fig,figer,Complex,er,Crepaldi,3,196,5.28,S,S,3.00,5.00,1
beer,beerer,Complex,er,Crepaldi,2,853,6.75,S,L,4.00,6.00,1
fan,fanful,Complex,ful,Crepaldi,4,473,6.16,S,S,3.00,6.00,1
altar,altaric,Complex,ic,Crepaldi,2,403,6.00,S,S,5.00,7.00,1
ant,antism,Complex,ish,Crepaldi,1,206,5.33,S,S,3.00,6.00,1
arid,aridism,Complex,ish,Crepaldi,3,100,4.61,S,S,4.00,7.00,1
elm,elmist,Complex,ist,Crepaldi,2,175,5.16,S,S,3.00,6.00,1
curt,curtity,Complex,ity,Crepaldi,3,88,4.48,S,S,4.00,7.00,1
dumb,dumbity,Complex,ity,Crepaldi,6,244,5.50,S,S,4.00,7.00,1
pill,pillize,Complex,ize,Crepaldi,5,537,6.29,S,S,4.00,7.00,1
treason,treasonize,Complex,ize,Crepaldi,4,138,4.93,S,S,7.00,10.00,1
true,trueness,Complex,ness,Crepaldi,6,6,1.79,S,S,4.00,8.00,1
branch,brancher,Complex,er,Graves,3,1692,7.43,S,L,6.00,8.00,1
prince,princement,Complex,ment,Graves,4,910,6.81,S,L,6.00,10.00,1
height,heightence,Complex,ence,Rastle,2,912,6.82,S,L,6.00,10.00,1
adopt,adopt,Complex,ish,Rastle,4,1205,7.09,S,L,5.00,5.00,1
eject,ejectence,Complex,ence,RastleFiller,5,66,4.19,S,S,5.00,9.00,1
weld,weldic,Complex,ic,RastleFiller,3,129,4.86,S,S,4.00,6.00,1
debt,debtish,Complex,ish,RastleFiller,4,656,6.49,S,S,4.00,7.00,1
yank,yankory,Complex,ory,RastleFiller,2,51,3.93,S,S,4.00,7.00,1
fiend,fiendism,Complex,ism,XuTaft,4,53,3.97,S,S,5.00,8.00,1
humid,humidous,Complex,ous,XuTaft,4,92,4.52,S,S,5.00,8.00,1
stir,stirance,Complex,ance,Crepaldi,12,841,6.73,L,L,4.00,8.00,1
trip,tripary,Complex,ary,Crepaldi,9,1382,7.23,L,L,4.00,7.00,1
flit,flitence,Complex,ence,Crepaldi,11,599,6.40,L,S,4.00,8.00,1
rip,ripence,Complex,ence,Crepaldi,8,471,6.15,L,S,3.00,7.00,1
sheet,sheeter,Complex,er,Crepaldi,14,1009,6.92,L,L,5.00,7.00,1
gas,gasful,Complex,ful,Crepaldi,33,1501,7.31,L,L,3.00,6.00,1
angel,angelish,Complex,ish,Crepaldi,17,652,6.48,L,S,5.00,8.00,1
ink,inkism,Complex,ish,Crepaldi,12,290,5.67,L,S,3.00,6.00,1
ill,illist,Complex,ist,Crepaldi,27,2375,7.77,L,L,3.00,6.00,1
cold,coldity,Complex,ity,Crepaldi,14,3585,8.18,L,L,4.00,7.00,1
mouth,mouthize,Complex,ize,Crepaldi,18,2866,7.96,L,L,5.00,8.00,1
mud,mudly,Complex,ly,Crepaldi,16,912,6.82,L,L,3.00,5.00,1
add,addment,Complex,ment,Crepaldi,10,5883,8.68,L,L,3.00,7.00,1
pass,passment,Complex,ment,Crepaldi,43,10035,9.21,L,L,4.00,8.00,1
free,freeness,Complex,ness,Crepaldi,88,7277,8.89,L,L,4.00,8.00,1
flip,flipory,Complex,ory,Crepaldi,10,184,5.21,L,S,4.00,7.00,1
fellow,fellowous,Complex,ous,Crepaldi,11,1324,7.19,L,L,6.00,9.00,1
boil,boilous,Complex,ous,Graves,13,1102,7.00,L,L,4.00,7.00,1
king,kingism,Complex,ish,Rastle,11,2275,7.73,L,L,4.00,7.00,1
north,northize,Complex,ize,Rastle,30,2541,7.84,L,L,5.00,8.00,1
employ,employness,Complex,ness,Rastle,12,4622,8.44,L,L,6.00,10.00,1
bind,bindic,Complex,ic,RastleFiller,14,451,6.11,L,S,4.00,6.00,1
break,breakity,Complex,ity,RastleFiller,43,6366,8.76,L,L,5.00,8.00,1
agree,agreely,Complex,ly,RastleFiller,9,4745,8.46,L,L,5.00,7.00,1
pitch,pitchory,Complex,ory,RastleFiller,10,610,6.41,L,S,5.00,8.00,1
socket,socketer,Complex,er,Crepaldi,1,143,4.96,S,S,6.00,8.00,2
gum,gumful,Complex,ful,Crepaldi,2,57,4.04,S,S,3.00,6.00,2
heir,heiric,Complex,ic,Crepaldi,3,211,5.35,S,S,4.00,6.00,2
aid,aidic,Complex,ic,Crepaldi,4,1159,7.06,S,L,3.00,5.00,2
urn,urnist,Complex,ist,Crepaldi,2,68,4.22,S,S,3.00,6.00,2
ramp,rampize,Complex,ize,Crepaldi,1,95,4.55,S,S,4.00,7.00,2
jaw,jawly,Complex,ly,Crepaldi,7,414,6.03,S,S,3.00,5.00,2
oppose,opposement,Complex,ment,Crepaldi,1,994,6.90,S,L,6.00,10.00,2
next,nextness,Complex,ness,Crepaldi,4,7415,8.91,S,L,4.00,8.00,2
bask,baskory,Complex,ory,Crepaldi,1,68,4.22,S,S,4.00,7.00,2
dig,digory,Complex,ory,Crepaldi,3,777,6.66,S,L,3.00,6.00,2
warn,warnory,Complex,ory,Crepaldi,5,1697,7.44,S,L,4.00,7.00,2
bolt,boltous,Complex,ous,Crepaldi,6,348,5.85,S,S,4.00,7.00,2
helmet,helmetous,Complex,ous,Crepaldi,6,242,5.49,S,S,6.00,9.00,2
scheme,schemeness,Complex,ness,Graves,3,1619,7.39,S,L,6.00,10.00,2
acre,acrement,Complex,ment,Rastle,3,708,6.56,S,L,4.00,8.00,2
tilt,tiltary,Complex,ary,RastleFiller,3,328,5.79,S,S,4.00,7.00,2
medical,medicalary,Complex,ary,RastleFiller,3,1323,7.19,S,L,7.00,10.00,2
zoom,zoomful,Complex,ful,RastleFiller,2,34,3.53,S,S,4.00,7.00,2
yield,yieldist,Complex,ist,RastleFiller,4,613,6.42,S,S,5.00,8.00,2
wink,winkity,Complex,ity,RastleFiller,4,216,5.38,S,S,4.00,7.00,2
thrill,thrillance,Complex,ance,XuTaft,4,307,5.73,S,S,6.00,10.00,2
null,nullish,Complex,ish,XuTaft,4,45,3.81,S,S,4.00,7.00,2
fever,feverize,Complex,ize,XuTaft,4,594,6.39,S,S,5.00,8.00,2
advertise,advertisely,Complex,ly,XuTaft,4,4.76,1.56,S,S,9.00,11.00,2
pray,prayance,Complex,ance,Crepaldi,9,1055,6.96,L,L,4.00,8.00,2
bog,bogary,Complex,ary,Crepaldi,12,259,5.56,L,S,3.00,6.00,2
band,bandary,Complex,ary,Crepaldi,26,981,6.89,L,L,4.00,7.00,2
beg,begence,Complex,ence,Crepaldi,8,604,6.40,L,S,3.00,7.00,2
pick,pickence,Complex,ence,Crepaldi,20,3385,8.13,L,L,4.00,8.00,2
tax,taxful,Complex,ful,Crepaldi,14,2763,7.92,L,L,3.00,6.00,2
habit,habitic,Complex,ic,Crepaldi,16,2066,7.63,L,L,5.00,7.00,2
bean,beanish,Complex,ish,Crepaldi,9,425,6.05,L,S,4.00,7.00,2
wig,wigish,Complex,ish,Crepaldi,8,262,5.57,L,S,3.00,6.00,2
elbow,elbowism,Complex,ish,Crepaldi,18,1756,7.47,L,L,5.00,8.00,2
witch,witchish,Complex,ish,Crepaldi,11,890,6.79,L,L,5.00,8.00,2
ear,earist,Complex,ist,Crepaldi,16,1711,2.77,L,S,3.00,6.00,2
poor,poority,Complex,ity,Crepaldi,11,4350,8.38,L,L,4.00,7.00,2
nut,nutly,Complex,ly,Crepaldi,31,946,6.85,L,L,3.00,5.00,2
tower,towerly,Complex,ly,Crepaldi,9,1180,7.07,L,L,5.00,7.00,2
shoot,shootment,Complex,ment,Crepaldi,23,1828,7.51,L,L,5.00,9.00,2
long,longness,Complex,ness,Crepaldi,59,19076,9.86,L,L,4.00,8.00,2
class,classous,Complex,ous,Crepaldi,29,6216,8.73,L,L,5.00,8.00,2
smooth,smoothful,Complex,ful,Graves,12,1042,6.95,L,L,6.00,9.00,2
grow,growist,Complex,ic,Graves,14,8545,9.05,L,L,4.00,7.00,2
dress, dressory,Complex,ory,Graves,33,3885,8.26,L,L,5.00,9.00,2
critic,criticance,Complex,ize,Rastle,11,2720,7.91,L,L,6.00,10.00,2
valid,valider,Complex,er,RastleFiller,13,618,6.43,L,S,5.00,7.00,2
blood,blooder,Complex,er,RastleFiller,53,3988,8.29,L,L,5.00,7.00,2
bear,bearist,Complex,ist,RastleFiller,30,2626,7.87,L,L,4.00,7.00,2
melt,meltange,Simple,ance,Crepaldi,5,429,6.06,S,S,4.00,8.00,1
happen,happenange,Simple,ance,Crepaldi,3,6982,8.85,S,L,6.00,10.00,1
lid,lidady,Simple,ary,Crepaldi,3,523,6.26,S,S,3.00,6.00,1
fig,figel,Simple,er,Crepaldi,3,196,5.28,S,S,3.00,5.00,1
beer,beerel,Simple,er,Crepaldi,2,853,6.75,S,L,4.00,6.00,1
fan,fanfil,Simple,ful,Crepaldi,4,473,6.16,S,S,3.00,6.00,1
altar,altarig,Simple,ic,Crepaldi,2,403,6.00,S,S,5.00,7.00,1
ant,antilm,Simple,ish,Crepaldi,1,206,5.33,S,S,3.00,6.00,1
arid,aridilm,Simple,ish,Crepaldi,3,100,4.61,S,S,4.00,7.00,1
elm,elmilt,Simple,ist,Crepaldi,2,175,5.16,S,S,3.00,6.00,1
curt,curtidy,Simple,ity,Crepaldi,3,88,4.48,S,S,4.00,7.00,1
dumb,dumbidy,Simple,ity,Crepaldi,6,244,5.50,S,S,4.00,7.00,1
pill,pillime,Simple,ize,Crepaldi,5,537,6.29,S,S,4.00,7.00,1
treason,treasonime,Simple,ize,Crepaldi,4,138,4.93,S,S,7.00,10.00,1
true,truenels,Simple,ness,Crepaldi,6,6,1.79,S,S,4.00,8.00,1
branch,branchel,Simple,er,Graves,3,1692,7.43,S,L,6.00,8.00,1
prince,princemant,Simple,ment,Graves,4,910,6.81,S,L,6.00,10.00,1
height,heightenge,Simple,ence,Rastle,2,912,6.82,S,L,6.00,10.00,1
adopt,adoptish,Simple,ish,Rastle,4,1205,7.09,S,L,5.00,5.00,1
eject,ejectenge,Simple,ence,RastleFiller,5,66,4.19,S,S,5.00,9.00,1
weld,weldig,Simple,ic,RastleFiller,3,129,4.86,S,S,4.00,6.00,1
debt,debtith,Simple,ish,RastleFiller,4,656,6.49,S,S,4.00,7.00,1
yank,yankody,Simple,ory,RastleFiller,2,51,3.93,S,S,4.00,7.00,1
fiend,fiendilm,Simple,ism,XuTaft,4,53,3.97,S,S,5.00,8.00,1
humid,humidoes,Simple,ous,XuTaft,4,92,4.52,S,S,5.00,8.00,1
stir,stirange,Simple,ance,Crepaldi,12,841,6.73,L,L,4.00,8.00,1
trip,tripady,Simple,ary,Crepaldi,9,1382,7.23,L,L,4.00,7.00,1
flit,flitenge,Simple,ence,Crepaldi,11,599,6.40,L,S,4.00,8.00,1
rip,ripenge,Simple,ence,Crepaldi,8,471,6.15,L,S,3.00,7.00,1
sheet,sheetel,Simple,er,Crepaldi,14,1009,6.92,L,L,5.00,7.00,1
gas,gasfil,Simple,ful,Crepaldi,33,1501,7.31,L,L,3.00,6.00,1
angel,angelith,Simple,ish,Crepaldi,17,652,6.48,L,S,5.00,8.00,1
ink,inkilm,Simple,ish,Crepaldi,12,290,5.67,L,S,3.00,6.00,1
ill,illilt,Simple,ist,Crepaldi,27,2375,7.77,L,L,3.00,6.00,1
cold,coldidy,Simple,ity,Crepaldi,14,3585,8.18,L,L,4.00,7.00,1
mouth,mouthime,Simple,ize,Crepaldi,18,2866,7.96,L,L,5.00,8.00,1
mud,mudla,Simple,ly,Crepaldi,16,912,6.82,L,L,3.00,5.00,1
add,addmant,Simple,ment,Crepaldi,10,5883,8.68,L,L,3.00,7.00,1
pass,passmant,Simple,ment,Crepaldi,43,10035,9.21,L,L,4.00,8.00,1
free,freenels,Simple,ness,Crepaldi,88,7277,8.89,L,L,4.00,8.00,1
flip,flipody,Simple,ory,Crepaldi,10,184,5.21,L,S,4.00,7.00,1
fellow,fellowoes,Simple,ous,Crepaldi,11,1324,7.19,L,L,6.00,9.00,1
boil,boil,Simple,ous,Graves,13,1102,7.00,L,L,4.00,7.00,1
king,kingilm,Simple,ish,Rastle,11,2275,7.73,L,L,4.00,7.00,1
north,ime,Simple,ize,Rastle,30,2541,7.84,L,L,5.00,8.00,1
employ,employnels,Simple,ness,Rastle,12,4622,8.44,L,L,6.00,10.00,1
bind,bindig,Simple,ic,RastleFiller,14,451,6.11,L,S,4.00,6.00,1
break,breakidy,Simple,ity,RastleFiller,43,6366,8.76,L,L,5.00,8.00,1
agree,agreela,Simple,ly,RastleFiller,9,4745,8.46,L,L,5.00,7.00,1
pitch,pitchody,Simple,ory,RastleFiller,10,610,6.41,L,S,5.00,8.00,1
socket,socketel,Simple,er,Crepaldi,1,143,4.96,S,S,6.00,8.00,2
gum,gumfil,Simple,ful,Crepaldi,2,57,4.04,S,S,3.00,6.00,2
heir,heirig,Simple,ic,Crepaldi,3,211,5.35,S,S,4.00,6.00,2
aid,aidig,Simple,ic,Crepaldi,4,1159,7.06,S,L,3.00,5.00,2
urn,urnilt,Simple,ist,Crepaldi,2,68,4.22,S,S,3.00,6.00,2
ramp,rampime,Simple,ize,Crepaldi,1,95,4.55,S,S,4.00,7.00,2
jaw,jawla,Simple,ly,Crepaldi,7,414,6.03,S,S,3.00,5.00,2
oppose,opposemant,Simple,ment,Crepaldi,1,994,6.90,S,L,6.00,10.00,2
next,nextnels,Simple,ness,Crepaldi,4,7415,8.91,S,L,4.00,8.00,2
bask,baskody,Simple,ory,Crepaldi,1,68,4.22,S,S,4.00,7.00,2
dig,digody,Simple,ory,Crepaldi,3,777,6.66,S,L,3.00,6.00,2
warn,warnody,Simple,ory,Crepaldi,5,1697,7.44,S,L,4.00,7.00,2
bolt,boltoes,Simple,ous,Crepaldi,6,348,5.85,S,S,4.00,7.00,2
helmet,helmetoes,Simple,ous,Crepaldi,6,242,5.49,S,S,6.00,9.00,2
scheme,schemenels,Simple,ness,Graves,3,1619,7.39,S,L,6.00,10.00,2
acre,acremant,Simple,ment,Rastle,3,708,6.56,S,L,4.00,8.00,2
tilt,tiltady,Simple,ary,RastleFiller,3,328,5.79,S,S,4.00,7.00,2
medical,medicalady,Simple,ary,RastleFiller,3,1323,7.19,S,L,7.00,10.00,2
zoom,zoomfil,Simple,ful,RastleFiller,2,34,3.53,S,S,4.00,7.00,2
yield,yieldilt,Simple,ist,RastleFiller,4,613,6.42,S,S,5.00,8.00,2
wink,winkidy,Simple,ity,RastleFiller,4,216,5.38,S,S,4.00,7.00,2
thrill,thrillange,Simple,ance,XuTaft,4,307,5.73,S,S,6.00,10.00,2
null,nullith,Simple,ish,XuTaft,4,45,3.81,S,S,4.00,7.00,2
fever,feverime,Simple,ize,XuTaft,4,594,6.39,S,S,5.00,8.00,2
advertise,advertisela,Simple,ly,XuTaft,4,4.76,1.56,S,S,9.00,11.00,2
pray,prayange,Simple,ance,Crepaldi,9,1055,6.96,L,L,4.00,8.00,2
bog,bogady,Simple,ary,Crepaldi,12,259,5.56,L,S,3.00,6.00,2
band,bandady,Simple,ary,Crepaldi,26,981,6.89,L,L,4.00,7.00,2
beg,begenge,Simple,ence,Crepaldi,8,604,6.40,L,S,3.00,7.00,2
pick,pickenge,Simple,ence,Crepaldi,20,3385,8.13,L,L,4.00,8.00,2
tax,taxfil,Simple,ful,Crepaldi,14,2763,7.92,L,L,3.00,6.00,2
habit,habitig,Simple,ic,Crepaldi,16,2066,7.63,L,L,5.00,7.00,2
bean,beanith,Simple,ish,Crepaldi,9,425,6.05,L,S,4.00,7.00,2
wig,wigith,Simple,ish,Crepaldi,8,262,5.57,L,S,3.00,6.00,2
elbow,elbowilm,Simple,ish,Crepaldi,18,1756,7.47,L,L,5.00,8.00,2
witch,witchith,Simple,ish,Crepaldi,11,890,6.79,L,L,5.00,8.00,2
ear,earilt,Simple,ist,Crepaldi,16,1711,2.77,L,S,3.00,6.00,2
poor,pooridy,Simple,ity,Crepaldi,11,4350,8.38,L,L,4.00,7.00,2
nut,nutla,Simple,ly,Crepaldi,31,946,6.85,L,L,3.00,5.00,2
tower,towerla,Simple,ly,Crepaldi,9,1180,7.07,L,L,5.00,7.00,2
shoot,shootmant,Simple,ment,Crepaldi,23,1828,7.51,L,L,5.00,9.00,2
long,longnels,Simple,ness,Crepaldi,59,19076,9.86,L,L,4.00,8.00,2
class,classoes,Simple,ous,Crepaldi,29,6216,8.73,L,L,5.00,8.00,2
smooth,smoothfil,Simple,ful,Graves,12,1042,6.95,L,L,6.00,9.00,2
grow,growilt,Simple,ic,Graves,14,8545,9.05,L,L,4.00,7.00,2
dress, dressody,Simple,ory,Graves,33,3885,8.26,L,L,5.00,9.00,2
critic,criticange,Simple,ize,Rastle,11,2720,7.91,L,L,6.00,10.00,2
valid,validel,Simple,er,RastleFiller,13,618,6.43,L,S,5.00,7.00,2
blood,bloodel,Simple,er,RastleFiller,53,3988,8.29,L,L,5.00,7.00,2
bear,bearilt,Simple,ist,RastleFiller,30,2626,7.87,L,L,4.00,7.00,2