Filename,Subbed,lang_type
Morph21_S101_filt_set_ICA_pruned.set,S101,Semantic
Morph21_S103_filt_set_ICA_pruned.set,S103,Orthographic
Morph21_S104_filt_set_ICA_pruned.set,S104,Semantic
Morph21_S105_filt_set_ICA_pruned.set,S105,Orthographic
Morph21_S106_filt_set_ICA_pruned.set,S106,Orthographic
Morph21_S107_filt_set_ICA_pruned.set,S107,Orthographic
Morph21_S108_filt_set_ICA_pruned.set,S108,Orthographic
Morph21_S109_filt_set_ICA_pruned.set,S109,Orthographic
Morph21_S110_filt_set_ICA_pruned.set,S110,Orthographic
Morph21_S111_filt_set_ICA_pruned.set,S111,Orthographic
Morph21_S112_filt_set_ICA_pruned.set,S112,Orthographic
Morph21_S113_filt_set_ICA_pruned.set,S113,Semantic
Morph21_S114_filt_set_ICA_pruned.set,S114,Semantic
Morph21_S115_filt_set_ICA_pruned.set,S115,Semantic
Morph21_S116_filt_set_ICA_pruned.set,S116,Semantic
Morph21_S117_filt_set_ICA_pruned.set,S117,Orthographic
Morph21_S118_filt_set_ICA_pruned.set,S118,Semantic
Morph21_S119_filt_set_ICA_pruned.set,S119,Semantic
Morph21_S120_filt_set_ICA_pruned.set,S120,Semantic
Morph21_S122_filt_set_ICA_pruned.set,S122,Orthographic
Morph21_S123_filt_set_ICA_pruned.set,S123,Semantic
Morph21_S124_filt_set_ICA_pruned.set,S124,Semantic
Morph21_S125_filt_set_ICA_pruned.set,S125,Semantic
Morph21_S127_filt_set_ICA_pruned.set,S127,Orthographic
Morph21_S128_filt_set_ICA_pruned.set,S128,Orthographic
Morph21_S129_filt_set_ICA_pruned.set,S129,Semantic
Morph21_S130_filt_set_ICA_pruned.set,S130,Semantic
Morph21_S131_filt_set_ICA_pruned.set,S131,Orthographic
Morph21_S132_filt_set_ICA_pruned.set,S132,Orthographic
Morph21_S133_filt_set_ICA_pruned.set,S133,Orthographic
Morph21_S134_filt_set_ICA_pruned.set,S134,Orthographic
Morph21_S135_filt_set_ICA_pruned.set,S135,Orthographic
Morph21_S136_filt_set_ICA_pruned.set,S136,Orthographic
Morph21_S137_filt_set_ICA_pruned.set,S137,Semantic
Morph21_S138_filt_set_ICA_pruned.set,S138,Semantic
Morph21_S139_filt_set_ICA_pruned.set,S139,Orthographic
Morph21_S140_filt_set_ICA_pruned.set,S140,Orthographic
Morph21_S141_filt_set_ICA_pruned.set,S141,Semantic
Morph21_S142_filt_set_ICA_pruned.set,S142,Semantic
Morph21_S143_filt_set_ICA_pruned.set,S143,Orthographic
Morph21_S144_filt_set_ICA_pruned.set,S144,Semantic
Morph21_S145_filt_set_ICA_pruned.set,S145,Orthographic
Morph21_S146_filt_set_ICA_pruned.set,S146,Orthographic
Morph21_S147_filt_set_ICA_pruned.set,S147,Orthographic
Morph21_S150_filt_set_ICA_pruned.set,S150,Semantic
Morph21_S152_filt_set_ICA_pruned.set,S152,Semantic
Morph21_S153_filt_set_ICA_pruned.set,S153,Orthographic
m21_s154_ICA.set,S154,Orthographic
m21_s155_ICA.set,S155,Semantic
m21_s156_ICA.set,S156,Orthographic
m21_s157_ICA.set,S157,Orthographic
m21_s158_ICA.set,S158,Semantic
m21_s159_ICA.set,S159,Semantic
m21_s160_ICA.set,S160,Semantic
m21_s167_ICA.set,S167,Semantic
m21_s168_ICA.set,S168,Semantic
m21_s169_ICA.set,S169,Orthographic
m21_s170_ICA.set,S170,Semantic
m21_s171_ICA.set,S171,Semantic
m21_s172_ICA.set,S172,Semantic