Sex,Age
Female,20
Female,18
Male,21
Female,20
Female,21
Female,18
Female,20
Female,18
Female,18
Female,18
Female,18
Female,21
Female,18
Female,19
Male,18
Female,19
Female,18
Male,23
Female,18
Male,19
Female,18
Female,18
Female,18
Female,20
Female,18
Female,23
Male,18
Female,18
Female,39
Female,21
Female,31
Female,48
Female,19
Female,20
Female,19
Male,18
Male,21
Female,21
Female,18
Female,19
Male,25
Male,23
Female,19
Female,18
Female,18
Female,18
Female,21
Female,18
Female,18
Female,18
Female,20
Prefer not to say,19
Female,21
Male,20
Female,21
Female,22
Female,20
Female,19
Female,20
Male,19
Male,22
Female,21
Male,19
Female,19
Female,21
Female,20
Female,19
Female,22
Male,19
Female,20
Female,20
Male,19
Female,21
Male,21