STIM,Base,Lexicality,affix,Source,FinalCut,correctans,FamilySize,BaseFreq,LogBF,SF,LogSF,BaseLength,SurfaceLeng,BG_Mean,BG_Freq_By_Pos,Stim.Type,NW.Type,Sublist,CB.Cond
DETECTABLE,DETECT,W,ABLE,XuTaft,S,z,7,982,6.89,27,3.30,6,10,2030,3008,CritialWord,NA,2,BA
AVOIDABLE,AVOID,W,ABLE,XuTaft,S,z,5,2172,7.68,20,3.00,5,9,996.38,701,CritialWord,NA,2,BA
NOTICEABLE,NOTICE,W,ABLE,FORD,S,z,6,3426,8.14,184,5.21,6,10,1980.22,1888,CritialWord,NA,2,BA
MAGICAL,MAGIC,W,AL,RastleFiller,S,z,5,1014,6.92,224,5.41,5,7,1700.17,1761,CritialWord,NA,2,BA
ALLOWANCE,ALLOW,W,ANCE,RastleFiller,S,z,5,5014,8.52,310,5.74,5,9,1751.63,1305,CritialWord,NA,2,BA
DIETARY,DIET,W,ARY,Rastle,S,z,6,1181,7.07,102,4.62,4,7,1660,1749,CritialWord,NA,2,BA
WIDOWED,WIDOW,W,ED,RastleFiller,S,z,5,499,6.21,55,4.01,5,7,1259.5,1344,CritialWord,NA,2,BA
BEARDED,BEARD,W,ED,Rastle,S,z,7,578,6.36,123,4.81,5,7,2225.33,2720,CritialWord,NA,2,BA
INSISTENT,INSIST,W,ENT,RastleFiller,S,z,5,1631,7.40,77,4.34,6,9,3502.13,3770,CritialWord,NA,2,BA
TOASTER,TOAST,W,ER,Rastle,S,z,6,339,5.83,11,2.40,5,7,2893.33,2653,CritialWord,NA,2,BA
LENDER,LEND,W,ER,FORD,S,z,3,505,6.22,7,1.95,4,6,3551.4,2983,CritialWord,NA,2,BA
RAIDER,RAID,W,ER,RastleFiller,S,z,4,505,6.22,21,3.04,4,6,2727.6,2407,CritialWord,NA,2,BA
JAILER,JAIL,W,ER,RastleFiller,S,z,5,678,6.52,22,3.09,4,6,2410.2,2442,CritialWord,NA,2,BA
DESTROYER,DESTROY,W,ER,FORD,S,z,3,1906,7.55,66,4.19,7,9,2621.13,3004,CritialWord,NA,2,BA
CAMPAIGNER,CAMPAIGN,W,ER,FORD,S,z,3,2003,7.60,30,3.40,8,10,,,CritialWord,NA,2,BA
SEEKER,SEEK,W,ER,Rastle,S,z,7,2155,7.68,13,2.56,4,6,2005,2360,CritialWord,NA,2,BA
SINGER,SING,W,ER,FORD,S,z,4,2186,7.69,109,4.69,4,6,3977,2763,CritialWord,NA,2,BA
LISTENER,LISTEN,W,ER,FORD,S,z,4,3081,8.03,84,4.43,6,8,3674.29,4031,CritialWord,NA,2,BA
DESIGN,DESIGNER,W,ER,RastleFiller,S,z,7,3296,8.10,1372,7.22,8,6,1970,1857,CritialWord,NA,2,BA
ATTACKER,ATTACK,W,ER,FORD,S,z,6,3385,8.13,100,4.61,6,8,2313.71,1164,CritialWord,NA,2,BA
BUYER,BUY,W,ER,FORD,S,z,3,4386,8.39,68,4.22,3,5,1718.75,1685,CritialWord,NA,2,BA
PLANNER,PLAN,W,ER,FORD,S,z,4,5475,8.61,44,3.78,4,7,2513.67,2568,CritialWord,NA,2,BA
TEACHER,TEACH,W,ER,RastleFiller,S,z,6,5662,8.64,1206,7.10,5,7,2850.33,2958,CritialWord,NA,2,BA
THRUSTER,THRUST,W,ER,Graves,S,z,4,584,6.37,355,5.87,6,8,,,CritialWord,NA,2,BA
ANGELIC,ANGEL,W,IC,Rastle,S,z,7,567,6.34,35,3.56,5,7,2564.5,1619,CritialWord,NA,2,BA
TOSSING,TOSS,W,ING,RastleFiller,S,z,5,407,6.01,84,4.43,4,7,2715.67,2896,CritialWord,NA,2,BA
TUTORING,TUTOR,W,ING,RastleFiller,S,z,5,499,6.212606096,4,1.386294361,5,8,2784.14,3256,CritialWord,NA,2,BA
PEAKING,PEAK,W,ING,RastleFiller,S,z,6,546,6.30,3,1.10,4,7,,,CritialWord,NA,2,BA
HARMLESS,HARM,W,LESS,FORD,S,z,7,1101,7.00,241,5.48,4,8,2029.43,3270,CritialWord,NA,2,BA
EFFORTLESS,EFFORT,W,LESS,FORD,S,z,4,2456,7.81,32,3.47,6,10,1677,1721,CritialWord,NA,2,BA
GRIMLY,GRIM,W,LY,FORD,S,z,6,552,6.31,125,4.83,4,6,1217.8,1250,CritialWord,NA,2,BA
DENSELY,DENSE,W,LY,FORD,S,z,7,655,6.48,43,3.76,5,7,,,CritialWord,NA,2,BA
NEATLY,NEAT,W,LY,FORD,S,z,3,924,6.83,365,5.90,4,6,2047,1586,CritialWord,NA,2,BA
GUILTY,GUILT,W,LY,RastleFiller,S,z,7,1576,7.36,865,6.76,5,6,663.6,684,CritialWord,NA,2,BA
HUGELY,HUGE,W,LY,FORD,S,z,3,1918,7.56,50,3.91,4,6,,,CritialWord,NA,2,BA
COSTLY,COST,W,LY,FORD,S,z,6,4215,8.35,191,5.25,4,6,1769.4,3014,CritialWord,NA,2,BA
LOCALLY,LOCAL,W,LY,FORD,S,z,7,4485,8.41,182,5.20,5,7,1691,1257,CritialWord,NA,2,BA
AMUSEMENT,AMUSE,W,MENT,FORD,S,z,3,857,6.75,178,5.18,5,9,1798.25,1833,CritialWord,NA,2,BA
AMAZEMENT,AMAZE,W,MENT,FORD,S,z,4,878,6.78,178,5.18,5,9,1602.38,1366,CritialWord,NA,2,BA
ENJOYMENT,ENJOY,W,MENT,FORD,S,z,4,2771,7.93,199,5.29,5,9,1608.5,1387,CritialWord,NA,2,BA
BOLDNESS,BOLD,W,NESS,RastleFiller,S,z,7,379,5.94,31,3.43,4,8,1541.43,2113,CritialWord,NA,2,BA
MILDNESS,MILD,W,NESS,FORD,S,z,4,676,6.52,14,2.64,4,8,,,CritialWord,NA,2,BA
DULLNESS,DULL,W,NESS,XuTaft,S,z,5,703,6.56,24,3.18,4,8,1627.86,2103,CritialWord,NA,2,BA
AWARENESS,AWARE,W,NESS,FORD,S,z,4,2391,7.78,428,6.06,5,9,2568.5,2820,CritialWord,NA,2,BA
RICHNESS,RICH,W,NESS,FORD,S,z,7,2868,7.96,88,4.48,4,8,2152.86,1809,CritialWord,NA,2,BA
STRANGENESS,STRANGE,W,NESS,FORD,S,z,4,2912,7.98,61,4.11,7,11,2912.7,3203,CritialWord,NA,2,BA
MOSSY,MOSS,W,Y,Graves,S,z,3,149,5.00,12,2.48,4,5,901.75,966,CritialWord,NA,2,BA
CHILLY,CHILL,W,Y,RastleFiller,S,z,7,488,6.19,92,4.52,5,6,1439.2,1403,CritialWord,NA,2,BA
BOSSY,BOSS,W,Y,Graves,S,z,6,551,6.31,32,3.47,4,5,851.75,879,CritialWord,NA,2,BA
RISKY,RISK,W,Y,RastleFiller,S,z,5,1827,7.51,98,4.58,4,5,1488,1093,CritialWord,NA,2,BA
PUNCHER,PUNCH,W,ER,RastleFiller,L,z,17,325,5.78,1,0.00,5,7,2179.67,2387,CritialWord,NA,2,BA
BARKER,BARK,W,ER,Graves,L,z,8,387,5.96,64,4.16,4,6,2214.4,3178,CritialWord,NA,2,BA
SPELLER,SPELL,W,ER,RastleFiller,L,z,10,781,6.66,1,0.00,5,7,2570.17,2519,CritialWord,NA,2,BA
KNOCKER,KNOCK,W,ER,RastleFiller,L,z,15,1104,7.01,24,3.18,5,7,1592.5,1714,CritialWord,NA,2,BA
SWIMMER,SWIM,W,ER,FORD,L,z,11,1145,7.04,40,3.69,4,7,1639.17,1580,CritialWord,NA,2,BA
COMPOSER,COMPOSE,W,ER,FORD,L,z,13,1187,7.08,112,4.72,7,8,2097.29,3803,CritialWord,NA,2,BA
BOMBER,BOMB,W,ER,Rastle,L,z,24,1208,7.10,50,3.91,4,6,1886.2,2546,CritialWord,NA,2,BA
LOCKER,LOCK,W,ER,RastleFiller,L,z,18,1654,7.41,89,4.49,4,6,2024,2504,CritialWord,NA,2,BA
RENTER,RENT,W,ER,RastleFiller,L,z,13,1690,7.43,2,0.69,4,6,,,CritialWord,NA,2,BA
HUNTER,HUNT,W,ER,FORD,L,z,18,1762,7.47,199,5.29,4,6,3144.2,2865,CritialWord,NA,2,BA
DANCER,DANCE,W,ER,FORD,L,z,16,2003,7.60,108,4.68,5,6,2641.8,2757,CritialWord,NA,2,BA
DREAMER,DREAM,W,ER,Rastle,L,z,19,2325,7.75,27,3.30,5,7,2600.17,2592,CritialWord,NA,2,BA
PUSHER,PUSH,W,ER,RastleFiller,L,z,17,2507,7.83,8,2.08,4,6,,,CritialWord,NA,2,BA
FEEDER,FEED,W,ER,FORD,L,z,11,2806,7.94,19,2.94,4,6,2937.8,2250,CritialWord,NA,2,BA
CLEANER,CLEAN,W,ER,XuTaft,L,z,29,2854,7.96,165,5.11,5,7,2955,2519,CritialWord,NA,2,BA
HEATER,HEAT,W,ER,FORD,L,z,15,2881,7.97,48,3.87,4,6,3660.4,3404,CritialWord,NA,2,BA
STRIKER,STRIKE,W,ER,Graves,L,z,17,3414,8.14,8,2.08,6,7,2546.17,2458,CritialWord,NA,2,BA
PAINTER,PAINT,W,ER,RastleFiller,L,z,17,3666,8.21,325,5.78,5,7,3747.83,3120,CritialWord,NA,2,BA
SHAMEFUL,SHAME,W,FUL,FORD,L,z,13,993,6.90,94,4.54,5,8,1002.43,1491,CritialWord,NA,2,BA
FAITHFUL,FAITH,W,FUL,FORD,L,z,12,1320,7.19,229,5.43,5,8,902,1314,CritialWord,NA,2,BA
DOUBTFUL,DOUBT,W,FUL,FORD,L,z,8,4135,8.33,241,5.48,5,8,600.43,1030,CritialWord,NA,2,BA
FLEXIBLE,FLEX,W,IBLE,RastleFiller,L,z,16,664,6.50,215,5.37,4,8,1375.43,1061,CritialWord,NA,2,BA
KICKING,KICK,W,ING,RastleFiller,L,z,15,1012,6.92,231,5.44,4,7,2483.33,2690,CritialWord,NA,2,BA
COOLING,COOL,W,ING,RastleFiller,L,z,14,1434,7.27,102,4.62,4,7,3043.17,4636,CritialWord,NA,2,BA
PARKING,PARK,W,ING,RastleFiller,L,z,9,1945,7.57,249,5.52,4,7,2595.5,3656,CritialWord,NA,2,BA
GUARDING,GUARD,W,ING,RastleFiller,L,z,28,2047,7.62,82,4.41,5,8,2442.57,2734,CritialWord,NA,2,BA
LAUGHING,LAUGH,W,ING,RastleFiller,L,z,18,4181,8.34,740,6.61,5,8,2168.43,2579,CritialWord,NA,2,BA
DAMPISH,DAMP,W,ISH,FORD,L,z,11,621,6.43,4,1.39,4,7,,,CritialWord,NA,2,BA
STYLISH,STYLE,W,ISH,XuTaft,L,z,16,2119,7.66,39,3.66,5,7,1860.5,1719,CritialWord,NA,2,BA
JUMPING,JUMP,W,JUMPING,RastleFiller,L,z,15,1395,7.24,296,5.69,4,7,2220.5,2709,CritialWord,NA,2,BA
GUILELESS,GUILE,W,LESS,Graves,L,z,9,61,4.11,7,1.95,5,9,2108.88,2493,CritialWord,NA,2,BA
BOOTLESS,BOOT,W,LESS,Graves,L,z,19,940,6.85,1,0.00,4,8,1784.43,2864,CritialWord,NA,2,BA
CLOUDLESS,CLOUD,W,LESS,RastleFiller,L,z,14,1181,7.07,24,3.18,5,9,1733.5,2148,CritialWord,NA,2,BA
BONELESS,BONE,W,LESS,Graves,L,z,35,1490,7.31,6,1.79,4,8,2693.57,3751,CritialWord,NA,2,BA
SHAPELY,SHAPE,W,LY,XuTaft,L,z,12,1909,7.55,43,3.76,5,7,1375.67,1684,CritialWord,NA,2,BA
QUIETLY,QUIET,W,LY,Rastle,L,z,18,2691,7.90,973,6.88,5,7,924.83,835,CritialWord,NA,2,BA
WRONGLY,WRONG,W,LY,FORD,L,z,12,3532,8.17,101,4.62,5,7,2127.83,1376,CritialWord,NA,2,BA
EXCITEMENT,EXCITE,W,MENT,FORD,L,z,9,1924,7.56,648,6.473890696,6,10,1980.78,2472,CritialWord,NA,2,BA
DEAFNESS,DEAF,W,NESS,FORD,L,z,9,290,5.67,35,3.56,4,8,,,CritialWord,NA,2,BA
BLINDNESS,BLIND,W,NESS,FORD,L,z,16,1024,6.93,76,4.33,5,9,2623,2287,CritialWord,NA,2,BA
MADNESS,MAD,W,NESS,FORD,L,z,10,1298,7.17,222,5.40,3,7,1855,2122,CritialWord,NA,2,BA
DRYNESS,DRY,W,NESS,XuTaft,L,z,19,2366,7.77,20,3.00,3,7,1576.67,1533,CritialWord,NA,2,BA
SAILOR,SAIL,W,OR,RastleFiller,L,z,17,740,6.61,99,4.60,4,6,1462,1540,CritialWord,NA,2,BA
CONDUCTOR,CONDUCT,W,OR,RastleFiller,L,z,16,1084,6.99,113,4.73,7,9,1862.88,3953,CritialWord,NA,2,BA
EDITOR,EDIT,W,OR,RastleFiller,L,z,12,1298,7.17,463,6.14,4,6,2531.8,970,CritialWord,NA,2,BA
COLLECTOR,COLLECT,W,OR,XuTaft,L,z,23,3221,8.08,122,4.80,7,9,1920.63,4015,CritialWord,NA,2,BA
PROFESSOR,PROFESS,W,PR,RastleFiller,L,z,14,3563,8.18,1260,7.14,7,9,1731.75,3034,CritialWord,NA,2,BA
WEEDY,WEED,W,Y,Graves,L,z,17,729,6.59,20,3.00,4,5,,,CritialWord,NA,2,BA
CREAMY,CREAM,W,Y,RastleFiller,L,z,10,792,6.67,73,4.29,5,6,1639.6,1634,CritialWord,NA,2,BA
VERBAL,VERB,W,AL,RastleFiller,L,z,22,423,6.05,210,5.35,4,6,2435.2,1304,CritialWord,NA,2,BA
meltange,melt,NW,ance,Crepaldi,S,m,5,429,6.06,NA,NA,4,8,NA,NA,CriticalNW,Simple,2,BA
happenange,happen,NW,ance,Crepaldi,S,m,3,6982,8.85,NA,NA,6,10,NA,NA,CriticalNW,Simple,2,BA
lidady,lid,NW,ary,Crepaldi,S,m,3,523,6.26,NA,NA,3,6,NA,NA,CriticalNW,Simple,2,BA
figel,fig,NW,er,Crepaldi,S,m,3,196,5.28,NA,NA,3,5,NA,NA,CriticalNW,Simple,2,BA
beerel,beer,NW,er,Crepaldi,S,m,2,853,6.75,NA,NA,4,6,NA,NA,CriticalNW,Simple,2,BA
fanfil,fan,NW,ful,Crepaldi,S,m,4,473,6.16,NA,NA,3,6,NA,NA,CriticalNW,Simple,2,BA
altarig,altar,NW,ic,Crepaldi,S,m,2,403,6.00,NA,NA,5,7,NA,NA,CriticalNW,Simple,2,BA
antilm,ant,NW,ish,Crepaldi,S,m,1,206,5.33,NA,NA,3,6,NA,NA,CriticalNW,Simple,2,BA
aridilm,arid,NW,ish,Crepaldi,S,m,3,100,4.61,NA,NA,4,7,NA,NA,CriticalNW,Simple,2,BA
elmilt,elm,NW,ist,Crepaldi,S,m,2,175,5.16,NA,NA,3,6,NA,NA,CriticalNW,Simple,2,BA
curtidy,curt,NW,ity,Crepaldi,S,m,3,88,4.48,NA,NA,4,7,NA,NA,CriticalNW,Simple,2,BA
dumbidy,dumb,NW,ity,Crepaldi,S,m,6,244,5.50,NA,NA,4,7,NA,NA,CriticalNW,Simple,2,BA
pillime,pill,NW,ize,Crepaldi,S,m,5,537,6.29,NA,NA,4,7,NA,NA,CriticalNW,Simple,2,BA
treasonime,treason,NW,ize,Crepaldi,S,m,4,138,4.93,NA,NA,7,10,NA,NA,CriticalNW,Simple,2,BA
TRUEnels,TRUE,NW,ness,Crepaldi,S,m,6,6,1.79,NA,NA,4,8,NA,NA,CriticalNW,Simple,2,BA
branchel,branch,NW,er,Graves,S,m,3,1692,7.43,NA,NA,6,8,NA,NA,CriticalNW,Simple,2,BA
princemant,prince,NW,ment,Graves,S,m,4,910,6.81,NA,NA,6,10,NA,NA,CriticalNW,Simple,2,BA
heightenge,height,NW,ence,Rastle,S,m,2,912,6.82,NA,NA,6,10,NA,NA,CriticalNW,Simple,2,BA
adoptish,adopt,NW,ish,Rastle,S,m,4,1205,7.09,NA,NA,5,8,NA,NA,CriticalNW,Simple,2,BA
ejectenge,eject,NW,ence,RastleFiller,S,m,5,66,4.19,NA,NA,5,9,NA,NA,CriticalNW,Simple,2,BA
weldig,weld,NW,ic,RastleFiller,S,m,3,129,4.86,NA,NA,4,6,NA,NA,CriticalNW,Simple,2,BA
debtith,debt,NW,ish,RastleFiller,S,m,4,656,6.49,NA,NA,4,7,NA,NA,CriticalNW,Simple,2,BA
yankody,yank,NW,ory,RastleFiller,S,m,2,51,3.93,NA,NA,4,7,NA,NA,CriticalNW,Simple,2,BA
fiendilm,fiend,NW,ism,XuTaft,S,m,4,53,3.97,NA,NA,5,8,NA,NA,CriticalNW,Simple,2,BA
humidoes,humid,NW,ous,XuTaft,S,m,4,92,4.52,NA,NA,5,8,NA,NA,CriticalNW,Simple,2,BA
stirange,stir,NW,ance,Crepaldi,L,m,12,841,6.73,NA,NA,4,8,NA,NA,CriticalNW,Simple,2,BA
tripady,trip,NW,ary,Crepaldi,L,m,9,1382,7.23,NA,NA,4,7,NA,NA,CriticalNW,Simple,2,BA
flitenge,flit,NW,ence,Crepaldi,L,m,11,599,6.40,NA,NA,4,8,NA,NA,CriticalNW,Simple,2,BA
ripenge,rip,NW,ence,Crepaldi,L,m,8,471,6.15,NA,NA,3,7,NA,NA,CriticalNW,Simple,2,BA
sheetel,sheet,NW,er,Crepaldi,L,m,14,1009,6.92,NA,NA,5,7,NA,NA,CriticalNW,Simple,2,BA
gasfil,gas,NW,ful,Crepaldi,L,m,33,1501,7.31,NA,NA,3,6,NA,NA,CriticalNW,Simple,2,BA
angelith,angel,NW,ish,Crepaldi,L,m,17,652,6.48,NA,NA,5,8,NA,NA,CriticalNW,Simple,2,BA
inkilm,ink,NW,ish,Crepaldi,L,m,12,290,5.67,NA,NA,3,6,NA,NA,CriticalNW,Simple,2,BA
illilt,ill,NW,ist,Crepaldi,L,m,27,2375,7.77,NA,NA,3,6,NA,NA,CriticalNW,Simple,2,BA
coldidy,cold,NW,ity,Crepaldi,L,m,14,3585,8.18,NA,NA,4,7,NA,NA,CriticalNW,Simple,2,BA
mouthime,mouth,NW,ize,Crepaldi,L,m,18,2866,7.96,NA,NA,5,8,NA,NA,CriticalNW,Simple,2,BA
mudla,mud,NW,ly,Crepaldi,L,m,16,912,6.82,NA,NA,3,5,NA,NA,CriticalNW,Simple,2,BA
addmant,add,NW,ment,Crepaldi,L,m,10,5883,8.68,NA,NA,3,7,NA,NA,CriticalNW,Simple,2,BA
passmant,pass,NW,ment,Crepaldi,L,m,43,10035,9.21,NA,NA,4,8,NA,NA,CriticalNW,Simple,2,BA
freenels,free,NW,ness,Crepaldi,L,m,88,7277,8.89,NA,NA,4,8,NA,NA,CriticalNW,Simple,2,BA
flipody,flip,NW,ory,Crepaldi,L,m,10,184,5.21,NA,NA,4,7,NA,NA,CriticalNW,Simple,2,BA
fellowoes,fellow,NW,ous,Crepaldi,L,m,11,1324,7.19,NA,NA,6,9,NA,NA,CriticalNW,Simple,2,BA
